left,right,margin
leader,5HghXegWJahmtiErZHQw2CTAoVQFMZtwyhqFQJiAwus7YBQF,0.09375
leader,5H8tBgXeefX2fxLNVxCTUaKwH51CwrbsgwBansX1zkhJfE9M,0.1484375
leader,5GTjzPxnm9m6EgjfQXuwQatU2BiMAutiFJ6efnqmouTEeLME,0.234375
leader,5HjCsufKfUm1y7U4a4MpZc9VnbchXL1u4dsLAkQUvQPrhCGc,0.0546875
leader,5C7ziwR84CJPZAmXTrgjDosPFoJYRxybDsf3b4AjsGEApAqf,0.0703125
leader,5DkXQdiW7iH5tGJDkYCDAF5d8wNASkhPJKWTHiDmxPQQQ56x,0.15625
leader,5FjgAQeaVLKerruzXjCtBEHMauL2QFKohNAwD5e4YBbXGdnb,0.0546875
leader,5F6aRio7TBik1EodJVeMy6k8KXcaEoc1LFELV8E6oTQoRyjV,-100.0
leader,5FWR8QZzzmExa4E6cdEWbxtqM3GN4eY3PUmH4UM1hzcL9gf6,0.078125
leader,5DPWTe7dDaaibdJepuhzYJyVBN8vBn13ngWPwVg6LJdpiF8G,0.1171875
leader,5D1y3ki9Gb2PhSeGZLdKw6NEBggjCJoLaSwfZPQYRZmZuBjD,0.1328125
leader,5FEy5v5H3ABUHCPQcqhYUvQGaasjhzomBFzyKKsVXyaqwZvt,0.1484375
leader,5G9t6QcJTVWkLsT3u7F1eLXDn4xQ7MoXnuBTEBVhXq6NQ4xG,0.140625
leader,5HpkMQ9GiZtQK17uPgQTmaoDGEW574ZDkZv2FxLN7Q5Q83bL,0.0390625
leader,5G1GM8LUMzzSiyQ6kMJQsTcTVLb5pFUD3jXDuUkcN8VyUX7A,0.171875
leader,5H8SKTCys6eSUeyjuKWX6WFHVjB1oCdcTWV9VKG1jtujTVU2,0.046875
leader,5FyRnEGcro2Db2z3AYemxiKMYVSzBFCgHJHWzD5deCffu8qX,0.140625
leader,5Gh2DH9ufNxLUyESBxBw3cwVxDaDFVHSKfaKWiusDtkCu1w4,0.0390625
leader,5HKerGcJfAbwTTRDMyfA59KTJ91pmTnQ9H1im6r2doqFihiv,0.15625
leader,5Ff3xu4e8Memkfu7jWA6ngpJtWeV4ZVZ75Nq25CDNdhccY4n,0.1640625
leader,5C7fUU3RE5iMsCtZqRedkZDQYobEMi7R7SeC8MqkRATm5uAN,0.1328125
leader,5En5h66xHSPrXtepPcTLmHgH8aFbGhnmaU1tFQ6irGXiYkiN,0.1328125
leader,5FxWVY4NwvYvXJkLC9x5UJAWSZnpvQZEBgVTGsHjMiJKbNky,0.1484375
leader,5FLNoSPEvwjgUGATeeAQPV6eEkPUyNqzTJN1bVMAR4524hQo,0.109375
leader,5GRfjMnqxFAtPNXzgTAgprm361adtSLcQfaVPtcfMPVEV4Ux,0.171875
leader,5HEVXjZPZikXTmMJHRoeMbGJhqT9nYX9oq5zVw4ccFXEK35u,-100.0
leader,5EvdKS8MohWnpqnL81pfrTYNbA72BNmwnhsqZwJPHYnNjEay,0.03125
leader,5DWqUrHcWut49u5bUX6z95rxSuFxZoTsySpAgLkmmv6q1B2Z,0.15625
leader,5HGkjAPscsRE1H5Q41P7HQcY4UBBkBMXwBCYjBaC4GLuaQg4,0.0390625
leader,5DX28pu2Zjjg9d5rGihvdBfmg5gP2uVPUMMiTvkUsrvJF3pN,0.0390625
leader,5GUNECfUwTFCgCbR5uppMS9PogXjCL4WJeKaAk7QWaqk9byz,0.125
leader,5Gbj2P9tWivPoXdTQ2vezh3jU6kNFKUdREWAE4usrnUqzqmZ,-100.0
leader,5CkxFpMpkKNo1XZw1qaSixsZ9UqTW3jKH4kXuE5iaYRUAAEr,0.03125
leader,5GgiozyDQZsBLXunwFF8AXLCBRpDh9qvaANneEJTog38DZt2,-100.0
leader,5DFGtwcMb5Zeva3KEEyGihaZoGoQPoDmZv25sZJupDvoFdio,-100.0
leader,5HNbCuMPbS4hRMkxWRQb9gVVxhk6DkmHantG8Ac8fXoi94y5,-100.0
leader,5HgqG9ihGN8LFhRwh5aN47DfBrGNckLrAWABZqt6gykEJgtZ,-100.0
